id,title,summary,source_url,published_date,category,created_at,updated_at,source_name
47bd1fdd-f1ac-4373-8d07-13562672c77c,New Research Highlights The Hidden Burden of Celiac Disease,"New research sheds light on the often-overlooked impact of celiac disease on patients' daily lives, mental health, and healthcare costs, emphasizing the need for better awareness and earlier diagnosis.",https://celiac.org/2026/02/19/new-research-highlights-the-hidden-burden-of-celiac-disease/,2026-02-19,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,Celiac Disease Foundation
d749aa1a-30d2-4e2e-9804-ec99c3768d14,FB102-301 Study Investigating a Potential New Celiac Drug – Now Enrolling,A new Phase 3 clinical trial (FB102-301) is now enrolling patients to investigate a potential drug for celiac disease. The study aims to evaluate the safety and efficacy of a novel therapeutic approach.,https://celiac.org/2026/02/03/now-enrolling-patients-in-the-fb102-301-study-investigating-a-potential-new-celiac-drug/,2026-02-03,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,Celiac Disease Foundation
19e49a3c-be26-4616-acac-74b4f1e8d939,Celiac Disease and Gluten Free in the News – February 2026,"A monthly roundup of the latest celiac disease and gluten-free news, covering new product launches, clinical trial updates, policy changes, and community events from February 2026.",https://nationalceliac.org/news/celiac-disease-and-gluten-free-in-the-news-feb-2026/,2026-02-01,news,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,National Celiac Association
8369908f-8048-4ebb-accd-d0f813db62e6,Building Better Models to Unlock New Treatments for Celiac Disease,"Researchers are developing improved preclinical models that more accurately mimic celiac disease in humans, a critical step toward accelerating drug development and testing new therapeutic candidates.",https://celiac.org/2026/02/13/building-better-models-to-unlock-new-treatments-for-celiac-disease/,2026-02-13,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,Celiac Disease Foundation
b86275c3-df8c-4731-8e0b-08da6464aba0,Celiac Disease Policy Updates – January 2026 Newsletter,"An overview of the latest policy developments affecting celiac patients, including gluten-free labeling regulations, insurance coverage updates, and advocacy efforts at the federal level.",https://theceliacsociety.org/celiac-disease-policy-updates-january-2026-newsletter/,2026-01-15,news,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,Society for the Study of Celiac Disease
f5876c34-4c8b-4b3c-b5e3-76d1efa8f331,Is There a Cure for Celiac Disease in 2025?,"A comprehensive review of the current treatment landscape and ongoing clinical trials for celiac disease, examining promising drug candidates and immunotherapy approaches that could offer alternatives to a strict gluten-free diet.",https://int.livhospital.com/is-there-a-cure-for-celiac-disease-in-2025/,2026-01-01,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,Liv Hospital
5620e627-040e-4f5a-9d59-d59397c911a4,5 Ongoing Breakthrough Clinical Trials Advancing Celiac Disease Research,"An overview of five major clinical trials currently underway that aim to transform celiac disease treatment, including enzyme therapies, immune modulators, and tight junction regulators.",https://trialx.com/5-ongoing-breakthrough-clinical-trials-advancing-celiac-disease-research/,2025-06-01,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,TrialX
6413513a-0c33-4820-975a-20faae06c54c,Celiac Disease Update 2025 – A Patient Guide,"A patient-friendly guide covering the latest advances in celiac disease management, including new diagnostic criteria, emerging therapies, dietary innovations, and practical tips for daily life.",https://doctordemaria.com/en/celiaca-disease-management-innovations-in-2025-updated-patient-guide-dr-de-maria/,2025-01-01,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,Dr. de María
5433faa7-e9c2-4c54-a12b-ae16d638d41c,Celiac Disease Research & Treatment – 2025 Update,"A detailed update on celiac disease research progress including TAK-062, TAK-227, and other drug candidates in various stages of clinical trials, plus insights into microbiome and genetic research.",https://www.celiac.ca/celiac-disease-research-treatment-2025/,2025-01-01,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,Celiac Canada
9c976d0c-c9de-4d3a-b49a-7ae0e6f057df,NASPGHAN 2025 Marks Major Shift in Celiac Disease Care & Research,"Coverage of the NASPGHAN 2025 conference highlighting paradigm shifts in celiac disease management, including updated pediatric guidelines, novel biomarkers, and AI-assisted diagnostics.",https://www.autoimmuneinstitute.org/research_updates/naspghan-2025-marks-major-shift-in-celiac-disease-care-research/,2025-10-01,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,Autoimmune Institute
